Transfer-attuned Spirit Shield	7	8250
Heat-attuned Tower Shield	5	8225
Penetrating Arrow Quiver	4	7862
Spike-Point Arrow Quiver	4	7863
Fossilised Spirit Shield	212	7744
Exhausting Spirit Shield	7	8217
Crushing Force Magnifier	23	8213
Splintered Tower Shield	5	7756
Driftwood Spiked Shield	10	7732
Sharktooth Arrow Quiver	4	7866
Tarnished Spirit Shield	7	7750
Burnished Spiked Shield	10	7734
Reinforced Tower Shield	5	7769
Sovereign Spiked Shield	10	7739
Exothermic Tower Shield	5	8218
Subsuming Spirit Shield	7	8249
Impact Force Propagator	23	8229
Feathered Arrow Quiver	4	8319
Reinforced Kite Shield	9	7792
Jingling Spirit Shield	7	7751
Ceremonial Kite Shield	9	7794
Two-Point Arrow Quiver	4	7865
Serpentscale Gauntlets	36	7635
Compound Spiked Shield	10	7737
Broadhead Arrow Quiver	4	7861
Polished Spiked Shield	10	7738
Commander's Brigandine	48	7505
Lacewood Spirit Shield	7	7743
Harmonic Spirit Shield	7	7746
Mirrored Spiked Shield	10	7730
Titanium Spirit Shield	7	7747
Fingerless Silk Gloves	35	7594
Chimerascale Gauntlets	36	8393
Capricious Spiritblade	13	8208
Flamecaller Xophgraft	228	8431
Serrated Arrow Quiver	4	7864
Corroded Tower Shield	5	7765
Alloyed Spiked Shield	10	7733
Bronzescale Gauntlets	36	7633
Splendid Round Shield	8	7781
Buckskin Tower Shield	5	7771
Redwood Spiked Shield	10	7736
Colossal Hybrid Flask	59	7811
Mahogany Tower Shield	5	7772
Ancient Spirit Shield	7	7755
Chiming Spirit Shield	7	7741
Laminated Kite Shield	9	7797
Sanctified Life Flask	60	7815
Sanctified Mana Flask	61	7827
Thorium Spirit Shield	7	7742
Shagreen Tower Shield	5	7760
Hallowed Hybrid Flask	59	7813
Ezomyte Spiked Shield	10	7729
Cardinal Round Shield	8	7776
Colossal Tower Shield	5	7763
Dragonscale Gauntlets	36	7638
Pinnacle Tower Shield	5	7764
Supreme Spiked Shield	10	7731
Marshall's Brigandine	48	8368
Wyvernscale Gauntlets	36	8394
Blunt Force Condenser	23	8205
Magmatic Tower Shield	5	8231
Micro-Distillery Belt	3	8235
Replicating Eshgraft	231	8438
Preserving Gauntlets	33	8274
Rawhide Tower Shield	5	7766
Studded Round Shield	8	7779
Scarlet Round Shield	8	7780
Soldier's Brigandine	48	7516
Ornate Spiked Shield	10	7735
Painted Tower Shield	5	7770
Steelscale Gauntlets	36	7634
Walnut Spirit Shield	7	7753
Blazing Arrow Quiver	4	8320
Poisonberry Tincture	215	8344
Crimson Round Shield	8	7784
Baroque Round Shield	8	7785
Crested Tower Shield	5	7759
Hydrascale Gauntlets	36	7637
Champion Kite Shield	9	7788
Occultist's Vestment	47	7475
Ezomyte Tower Shield	5	7762
General's Brigandine	48	7510
Elegant Round Shield	8	7777
Anarchic Spiritblade	13	8198
Cold-attuned Buckler	6	8210
Murderous Eye Jewel	29	7854
Searching Eye Jewel	30	7855
Fishscale Gauntlets	36	7631
Rotted Round Shield	8	7773
Ironscale Gauntlets	36	7632
Medium Hybrid Flask	59	7809
Infantry Brigandine	48	7514
Copper Tower Shield	5	7768
Layered Kite Shield	9	7793
Colossal Life Flask	60	7823
Colossal Mana Flask	61	7835
Borealwood Tincture	215	8347
Brass Spirit Shield	7	7752
Ivory Spirit Shield	212	7754
Hallowed Life Flask	60	7825
Hallowed Mana Flask	61	7837
Conjurer's Vestment	47	7470
Spiked Round Shield	8	7783
Bronze Tower Shield	5	7757
Engraved Greatsword	22	8176
Wyrmscale Gauntlets	36	7636
Sacred Hybrid Flask	59	7812
Girded Tower Shield	5	7758
Sporebloom Tincture	215	8417
Necromancer Circlet	54	7678
Angelic Kite Shield	9	7798
Dragonscale Doublet	48	7507
Alder Spiked Shield	10	7728
Branded Kite Shield	9	7787
Primal Arrow Quiver	4	8322
Triumphant Lamellar	48	7511
Apothecary's Gloves	37	8300
Thwarting Gauntlets	33	8276
Precursor Gauntlets	33	8391
Dreamquest Slippers	41	8262
Whisper-woven Cloak	179	8299
Leviathan Gauntlets	33	8392
Endothermic Buckler	6	8215
Oscillating Sceptre	17	8236
Reciprocation Staff	21	8244
Stabilising Sceptre	17	8248
Alternating Sceptre	17	8197
Battering Uulgraft	222	8428
Greatwolf Talisman	2	7434
Hardening Uulgraft	225	8434
Hypnotic Eye Jewel	31	7853
Squalling Tulgraft	234	8440
Twig Spirit Shield	7	7740
Leatherscale Boots	42	7577
Small Hybrid Flask	59	7808
Greater Life Flask	60	7820
Greater Mana Flask	61	7832
Linden Kite Shield	9	7791
Bone Spirit Shield	212	8333
Erupting Xophgraft	227	8430
Summoning Tulgraft	236	8443
Cedar Tower Shield	5	7767
Prismatic Tincture	215	8416
Rosethorn Tincture	215	8345
Cloudwhisper Boots	40	8257
Large Hybrid Flask	59	7810
Blunt Arrow Quiver	4	7867
Fulgurite Tincture	215	8343
Reinforced Greaves	39	7571
Embroidered Gloves	35	7616
Maple Round Shield	8	7782
Etched Kite Shield	9	7795
Guarding Gauntlets	33	8275
Serpentscale Boots	42	7581
Crusader Chainmail	49	7537
Blood Sap Tincture	215	8348
Corrugated Buckler	6	7726
Nightwind Slippers	41	8261
Loricated Ringmail	49	7525
Oakbranch Tincture	215	8346
Conquest Chainmail	49	7526
Ebony Tower Shield	5	7761
Heavy Arrow Quiver	4	8289
Spiny Round Shield	8	7775
Vaal Spirit Shield	7	7745
Pig-Faced Bascinet	55	7700
Eternal Life Flask	60	7817
Eternal Mana Flask	61	7829
Mosaic Kite Shield	9	7789
Nightmare Bascinet	55	7692
Archon Kite Shield	9	7790
Chimerascale Boots	42	8381
Conqueror's Helmet	52	8407
Giantslayer Helmet	52	8408
Fickle Spiritblade	13	8219
Flickerflame Blade	19	8222
Hollowpoint Dagger	12	8227
Disapprobation Axe	15	8214
Pressurised Dagger	12	8240
Driftwood Sceptre	17	7988
Freezing Tulgraft	235	8433
Ghastly Eye Jewel	32	7856
Storming Eshgraft	230	8442
Medium Life Flask	60	7818
Medium Mana Flask	61	7830
Quicksilver Flask	62	7849
Plank Kite Shield	9	7786
Fire Arrow Quiver	4	7860
Yew Spirit Shield	7	7748
Draining Eshgraft	232	8429
Impaling Uulgraft	224	8435
Stoking Xophgraft	229	8441
Ironwood Tincture	215	8341
Duskwalk Slippers	41	8260
Chainmail Doublet	49	7532
Etched Greatsword	22	8188
Full Scale Armour	48	7515
Bronzescale Boots	42	7579
Sacred Life Flask	60	7824
Sacred Mana Flask	61	7836
Wyrmscale Doublet	48	7518
Antique Gauntlets	33	7626
Latticed Ringmail	49	7536
Aetherwind Gloves	35	8281
Apprentice Gloves	34	8278
Hussar Brigandine	48	7519
Steel Kite Shield	9	7796
Ancient Gauntlets	33	7627
Destroyer Regalia	47	7472
Goliath Gauntlets	33	7628
Vile Arrow Quiver	4	8321
Dragonbone Rapier	14	8045
Teak Round Shield	8	7774
Necromancer Silks	47	7474
Desert Brigandine	48	7508
Divine Life Flask	60	7816
Divine Mana Flask	61	7828
Lacquered Buckler	6	7715
Arcanist Slippers	41	7566
Exquisite Leather	46	7441
Dragonscale Boots	42	7584
Saintly Chainmail	49	7529
Trapsetter Gloves	34	8279
Blue Pearl Amulet	2	7422
Infiltrator Boots	44	8375
Infiltrator Mitts	38	8387
Paladin's Hauberk	49	8371
Precursor Greaves	39	8379
Conquest Lamellar	48	8369
Leviathan Greaves	39	8380
Wyvernscale Boots	42	8382
Transformer Staff	21	8251
Molten Xophgraft	226	8437
Small Life Flask	60	7814
Small Mana Flask	61	7826
Goathide Buckler	6	7711
Darkwood Sceptre	17	7999
Large Life Flask	60	7819
Large Mana Flask	61	7831
Whalebone Rapier	14	8049
Light Brigandine	48	7512
Strapped Leather	46	7444
Plated Gauntlets	33	7623
Fir Round Shield	8	7778
Jolting Eshgraft	233	8436
Spiking Uulgraft	223	8439
Two-Handed Sword	22	8187
Grand Life Flask	60	7821
Grand Mana Flask	61	7833
Basemetal Treads	39	8253
Turquoise Amulet	2	7432
Bronze Gauntlets	33	7624
Hammered Buckler	6	7721
Giant Life Flask	60	7822
Giant Mana Flask	61	7834
Aquamarine Flask	62	7840
Ashbark Tincture	215	8342
Cabalist Regalia	47	7483
Gladiator Helmet	52	7686
Steelscale Boots	42	7580
Frontier Leather	46	7451
Enameled Buckler	6	7725
Glorious Leather	46	7436
Sharkskin Gloves	34	7601
Prehistoric Claw	11	7891
Serpentine Staff	25	8110
Darksteel Treads	39	8254
Lacquered Helmet	55	7698
Cutthroat's Garb	46	7438
Devout Chainmail	49	7524
Engraved Hatchet	15	7961
Ironwood Buckler	6	7714
Assassin's Mitts	38	7611
Great White Claw	11	7894
Magistrate Crown	56	7709
Primordial Staff	21	8113
Hydrascale Boots	42	7583
Ezomyte Burgonet	52	7690
Platinum Sceptre	17	7998
Assassin's Boots	44	7557
Full Dragonscale	48	7509
Elegant Ringmail	49	7527
Crusader Buckler	6	7717
Eternal Burgonet	52	7682
Imperial Buckler	6	7718
Sacrificial Garb	51	7520
Full Wyvernscale	48	8367
General's Helmet	52	8406
Sanguine Raiment	50	8358
Harpyskin Gloves	34	8385
Brimstone Treads	39	8255
Stormrider Boots	40	8259
Haunted Bascinet	55	8411
Sacred Chainmail	49	8372
Syndicate's Garb	46	8357
Twilight Regalia	47	8363
Maltreatment Axe	15	8233
Congregator Wand	18	8211
Potentiality Rod	25	8239
Accumulator Wand	18	8196
Pneumatic Dagger	12	8237
Astrolabe Amulet	2	8201
Artillery Quiver	4	8301
Sharktooth Claw	11	7898
Chainmail Tunic	49	7530
